"date","name","value"
2021-04-01,"FL",326600
2021-04-01,"AK",328700
2021-04-01,"ME",294700
2021-04-01,"HI",645600
2021-04-01,"NV",364000
2021-03-01,"RI",348300
2021-03-01,"VT",281400
2021-03-01,"AL",234500
2021-03-01,"KY",217200
2021-03-01,"NM",419500
2021-03-01,"SC",283600
2021-03-01,"CO",497200
2021-03-01,"IN",220300
2021-03-01,"OR",442700
2021-03-01,"NV",353100
2021-03-01,"TX",303000
2021-03-01,"MI",211200
2021-03-01,"MA",529700
2021-03-01,"NC",296100
2021-03-01,"FL",317700
2021-03-01,"OK",207200
2021-03-01,"AZ",359800
2021-03-01,"KS",322900
2021-03-01,"WI",234700
2021-03-01,"MD",352500
2021-03-01,"TN",295400
2021-03-01,"CA",722000
2021-03-01,"NY",499900
2021-03-01,"DC",639900
2021-03-01,"ME",285800
2021-03-01,"MS",219200
2021-03-01,"IL",277300
2021-03-01,"OH",192700
2021-03-01,"GA",296800
2021-03-01,"UT",457900
2021-03-01,"CT",313800
2021-03-01,"PA",250600
2021-03-01,"WV",244900
2021-03-01,"WA",550700
2021-03-01,"AK",312200
2021-03-01,"HI",621900
2021-03-01,"NE",242700
2021-03-01,"MO",213500
2021-03-01,"LA",254700
2021-03-01,"VA",401800
2021-03-01,"DE",259100
2021-03-01,"NH",331800
2021-03-01,"NJ",384500
2021-03-01,"MN",303700
2021-03-01,"IA",231500
2021-03-01,"AR",204400
2021-03-01,"ID",414200
2021-02-01,"UT",432100
2021-02-01,"OH",179800
2021-02-01,"IA",216900
2021-02-01,"DE",253700
2021-02-01,"MA",498500
2021-02-01,"AK",304900
2021-02-01,"FL",307600
2021-02-01,"CA",685000
2021-02-01,"IN",216800
2021-02-01,"AZ",349000
2021-02-01,"CO",474400
2021-02-01,"ID",392600
2021-02-01,"MN",287600
2021-02-01,"NV",346000
2021-02-01,"NH",330500
2021-02-01,"AR",201100
2021-02-01,"NC",282500
2021-02-01,"DC",635000
2021-02-01,"CT",314700
2021-02-01,"OK",202200
2021-02-01,"MI",195400
2021-02-01,"WA",513500
2021-02-01,"NJ",373700
2021-02-01,"AL",227800
2021-02-01,"HI",632500
2021-02-01,"SC",276900
2021-02-01,"KS",295700
2021-02-01,"VA",383800
2021-02-01,"RI",324600
2021-02-01,"TX",293800
2021-02-01,"ME",259900
2021-02-01,"LA",243500
2021-02-01,"VT",269200
2021-02-01,"WV",239800
2021-02-01,"PA",237900
2021-02-01,"TN",287600
2021-02-01,"NM",467000
2021-02-01,"NY",458000
2021-02-01,"MO",208700
2021-02-01,"NE",230900
2021-02-01,"MS",209300
2021-02-01,"IL",250200
2021-02-01,"WI",221000
2021-02-01,"MD",332500
2021-02-01,"OR",433300
2021-02-01,"KY",207500
2021-02-01,"GA",282300
2021-01-01,"LA",236700
2021-01-01,"AK",298400
2021-01-01,"TX",278200
2021-01-01,"ID",382700
2021-01-01,"NM",456000
2021-01-01,"MN",277700
2021-01-01,"SC",275100
2021-01-01,"NV",340300
2021-01-01,"AZ",339800
2021-01-01,"GA",275700
2021-01-01,"WA",491500
2021-01-01,"DC",614900
2021-01-01,"NE",228500
2021-01-01,"DE",258900
2021-01-01,"OK",195800
2021-01-01,"VA",370000
2021-01-01,"IL",250600
2021-01-01,"MS",204300
2021-01-01,"PA",241300
2021-01-01,"UT",412300
2021-01-01,"RI",332400
2021-01-01,"MA",508500
2021-01-01,"IA",228000
2021-01-01,"ME",258800
2021-01-01,"VT",272300
2021-01-01,"MI",196200
2021-01-01,"AL",222500
2021-01-01,"FL",305400
2021-01-01,"MO",202900
2021-01-01,"CT",316300
2021-01-01,"KY",204800
2021-01-01,"WV",239000
2021-01-01,"CO",459300
2021-01-01,"TN",281000
2021-01-01,"NY",457300
2021-01-01,"MD",335500
2021-01-01,"NJ",384900
2021-01-01,"IN",210200
2021-01-01,"NH",330600
2021-01-01,"CA",654900
2021-01-01,"HI",614200
2021-01-01,"OH",180800
2021-01-01,"WI",217200
2021-01-01,"OR",416600
2021-01-01,"NC",281300
2021-01-01,"KS",290600
2021-01-01,"AR",196800
2020-12-01,"KY",210200
2020-12-01,"GA",285300
2020-12-01,"DE",264000
2020-12-01,"NM",484300
2020-12-01,"OK",199200
2020-12-01,"AK",317200
2020-12-01,"ID",370000
2020-12-01,"VT",294500
2020-12-01,"NH",329500
2020-12-01,"CO",456300
2020-12-01,"VA",380500
2020-12-01,"PA",243700
2020-12-01,"WV",231600
2020-12-01,"MD",342800
2020-12-01,"OR",411300
2020-12-01,"MO",209200
2020-12-01,"NV",339700
2020-12-01,"KS",287200
2020-12-01,"AL",225800
2020-12-01,"NY",445700
2020-12-01,"CA",662600
2020-12-01,"WA",490700
2020-12-01,"IA",225400
2020-12-01,"NE",223400
2020-12-01,"MI",201600
2020-12-01,"NC",287200
2020-12-01,"NJ",382300
2020-12-01,"TX",286900
2020-12-01,"SC",273700
2020-12-01,"WI",221400
2020-12-01,"AR",197200
2020-12-01,"TN",291900
2020-12-01,"FL",303600
2020-12-01,"IL",249400
2020-12-01,"RI",334000
2020-12-01,"HI",628100
2020-12-01,"MA",507700
2020-12-01,"LA",240700
2020-12-01,"DC",637500
2020-12-01,"MS",215800
2020-12-01,"OH",189800
2020-12-01,"IN",217000
2020-12-01,"MN",283200
2020-12-01,"UT",418600
2020-12-01,"CT",323200
2020-12-01,"ME",271800
2020-12-01,"AZ",334500
2020-11-01,"DC",682000
2020-11-01,"TN",289800
2020-11-01,"ID",371400
2020-11-01,"IL",251400
2020-11-01,"NJ",386200
2020-11-01,"NC",290300
2020-11-01,"CO",460700
2020-11-01,"DE",270600
2020-11-01,"WI",224100
2020-11-01,"AZ",334000
2020-11-01,"NV",343200
2020-11-01,"MI",207500
2020-11-01,"MO",213200
2020-11-01,"KS",289300
2020-11-01,"MN",290200
2020-11-01,"CT",316000
2020-11-01,"OR",413200
2020-11-01,"OH",190400
2020-11-01,"MA",511400
2020-11-01,"WV",223300
2020-11-01,"NH",329300
2020-11-01,"RI",336200
2020-11-01,"WA",499700
2020-11-01,"LA",247800
2020-11-01,"AR",200900
2020-11-01,"AL",228100
2020-11-01,"KY",215400
2020-11-01,"UT",434900
2020-11-01,"GA",283700
2020-11-01,"MD",349900
2020-11-01,"SC",279000
2020-11-01,"NY",425700
2020-11-01,"AK",319200
2020-11-01,"OK",200800
2020-11-01,"VA",389000
2020-11-01,"IN",220400
2020-11-01,"TX",283500
2020-11-01,"IA",219200
2020-11-01,"ME",272900
2020-11-01,"CA",669300
2020-11-01,"PA",246900
2020-11-01,"FL",298800
2020-11-01,"VT",293000
2020-11-01,"NM",462600
2020-11-01,"MS",215300
2020-11-01,"HI",620200
2020-11-01,"NE",238600
2020-10-01,"PA",246500
2020-10-01,"MO",213300
2020-10-01,"MS",210500
2020-10-01,"NV",339900
2020-10-01,"OR",414800
2020-10-01,"OH",192900
2020-10-01,"RI",341000
